ID,POS,Name,TM,Age,NAT,B,T
32524,SP,Pablo Lopez,Miami,25,VEN,Left,Right
31928,SP,Michael Lorenzen,Cincinnati,29,USA,Right,Right
19729,SP,Joey Lucchesi,New York,27,USA,Left,Left
26448,SP,Jesus Luzardo,Oakland,23,PER,Left,Left
26750,SP,Lance Lynn,Chicago,33,USA,Switch,Right
34291,SP,Kenta Maeda,Minnesota,32,JPN,Right,Right
32996,SP,Tyler Mahle,Cincinnati,26,USA,Right,Right
31875,SP,Sean Manaea,Oakland,29,USA,Right,Left
33745,SP,German Marquez,Colorado,26,VEN,Right,Right
34120,SP,Francis Martes,Houston,25,DOM,Right,Right
29157,SP,Carlos Martinez,St. Louis,29,DOM,Right,Right
28237,SP,Steven Matz,Toronto,29,USA,Right,Left
30621,SP,Lance McCullers Jr.,Houston,27,USA,Left,Right
23405,SP,Triston McKenzie,Cleveland,23,USA,Right,Right
233,SP,John Means,Baltimore,27,USA,Left,Left
28152,SP,Miles Mikolas,St. Louis,32,USA,Right,Right
26753,SP,Wade Miley,Cincinnati,34,USA,Left,Left
1773,SP,Tyson Miller,Chicago,25,USA,Right,Right
24816,SP,Mike Minor,Kansas City,33,USA,Right,Left
36707,SP,Casey Mize,Detroit,23,USA,Right,Right
31272,SP,Frankie Montas,Oakland,28,DOM,Right,Right
984,SP,Jordan Montgomery,New York,28,USA,Left,Left
22309,SP,Matt Moore,Philadelphia,31,USA,Left,Left
36573,SP,Adrian Morejon,San Diego,22,CUB,Left,Left
18809,SP,Charlie Morton,Atlanta,37,USA,Right,Right
31103,SP,Jose Mujica,Colorado,24,VEN,Right,Right
29260,SP,Joe Musgrove,San Diego,28,USA,Right,Right
18,SP,Aaron Nola,Philadelphia,27,USA,Right,Right
37006,SP,Dedniel Nunez,San Francisco,24,DOM,Right,Right
23747,SP,Jake Odorizzi,Houston,31,USA,Right,Right
34284,SP,Shohei Ohtani,Los Angeles,26,JPN,Left,Right
25239,SP,Chris Paddack,San Diego,25,USA,Right,Right
33478,SP,Joe Palumbo,Texas,26,USA,Left,Left
29134,SP,James Paxton,Seattle,32,CAN,Left,Left
37562,SP,Matt Peacock,Arizona,27,USA,Right,Right
23374,SP,Nate Pearson,Toronto,24,USA,Right,Right
30458,SP,Felix Pena,Los Angeles,31,DOM,Right,Right
35172,SP,Freddy Peralta,Milwaukee,24,DOM,Right,Right
27800,SP,Martin Perez,Boston,29,VEN,Left,Left
1392,SP,David Peterson,New York,25,USA,Left,Left
23778,SP,Michael Pineda,Minnesota,32,DOM,Right,Right
32035,SP,Nick Pivetta,Boston,28,CAN,Right,Right
25842,SP,Zach Plesac,Cleveland,26,USA,Right,Right
31882,SP,Adam Plutko,Baltimore,29,USA,Right,Right
36547,SP,Cody Ponce,Pittsburgh,26,USA,Right,Right
18902,SP,David Price,Los Angeles,35,USA,Left,Left
33026,SP,Austin Pruitt,Houston,31,USA,Right,Right
32079,SP,Cal Quantrill,Cleveland,26,CAN,Left,Right
28937,SP,Jose Quintana,Los Angeles,32,COL,Right,Left
28337,SP,Robbie Ray,Toronto,29,USA,Left,Left
1566,SP,Garrett Richards,Boston,32,USA,Right,Right
