Player List
Name
Chris Archer
Shane McClanahan
Collin McHugh
Brendan McKay
Ryan Yarbrough
Josh Fleming
Andrew Kittredge
Ryan Sherriff
Aaron Slegers
Jeffrey Springs
Ryan Thompson
Matt Wisler
Drew Rasmussen
Francisco Mejia
Mike Zunino
Ji-man Choi
Brandon Lowe
Mike Brosseau
Yandy Diaz
Joey Wendle
Randy Arozarena
Jordan Luplow
Kevin Kiermaier
Nelson Cruz
Manuel Margot
Austin Meadows
"Thursday, April 7th , 2022 - OOTP Baseball 22.10 Build 79"
