Player List
Name
Madison Bumgarner
Zac Gallen
Merrill Kelly
Caleb Smith
Luke Weaver
Humberto Castellanos
Tyler Clippard
Brett De Geus
Tyler Gilbert
Riley Smith
J.B. Wendelken
Taylor Widener
Taylor Clarke
Carson Kelly
Jamie Ritchie
Daulton Varsho
Pavin Smith
Christian Walker
Josh Rojas
Andrew Young
Josh VanMeter
Jake Hager
Ildemaro Vargas
David Peralta
Ketel Marte
Kole Calhoun
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
