Player List
Name
Gerrit Cole
Andrew Heaney
Corey Kluber
Luis Severino
Jameson Taillon
Domingo German
Chad Green
Clay Holmes
Michael King
Jonathan Loaisiga
Jordan Montgomery
Wandy Peralta
Aroldis Chapman
Kyle Higashioka
Gary Sanchez
Anthony Rizzo
Luke Voit
DJ LeMahieu
Tyler Wade
Gio Urshela
Gleyber Torres
Joey Gallo
Brett Gardner
Giancarlo Stanton
Aaron Hicks
Aaron Judge
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
