Player List
Name
Zach Eflin
Bailey Falter
Kyle Gibson
Aaron Nola
Ranger Suarez
Jose Alvarado
Cam Bedrosian
Archie Bradley
Sam Coonrod
Seranthony Dominguez
Ian Kennedy
JoJo Romero
Hector Neris
Andrew Knapp
J.T. Realmuto
Rhys Hoskins
Brad Miller
Jean Segura
Ronald Torreyes
Alec Bohm
Didi Gregorius
Freddy Galvis
Andrew McCutchen
Travis Jankowski
Roman Quinn
Bryce Harper
"Thursday, April 7th , 2022 - OOTP Baseball 22.10 Build 79"
