Player List
Name
Tyler Anderson
Chris Flexen
Marco Gonzales
Yusei Kikuchi
Justus Sheffield
Sean Doolittle
David Huff
Andres Munoz
Casey Sadler
Paul Sewald
Joe Smith
Erik Swanson
Will Vest
Diego Castillo
Tom Murphy
Luis Torrens
Ty France
Sam Haggerty
Dylan Moore
Kyle Seager
Abraham Toro
J.P. Crawford
Jake Bauers
Jake Fraley
Kyle Lewis
Mitch Haniger
"Thursday, April 7th , 2022 - OOTP Baseball 22.10 Build 79"
