Player List
Name
Ian Anderson
Tucker Davidson
Max Fried
Charlie Morton
Josh Tomlin
Victor Arano
Chris Martin
A.J. Minter
Richard Rodriguez
Drew Smyly
Touki Toussaint
Huascar Ynoa
Will Smith
Travis d'Arnaud
Stephen Vogt
Freddie Freeman
Ehire Adrianza
Ozzie Albies
Ryan Goins
Austin Riley
Dansby Swanson
Adam Duvall
Marcell Ozuna
Phillip Ervin
Joc Pederson
Jorge Soler
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
