Player List
Name
Chase Anderson
Kohei Arihara
Dane Dunning
Mike Foltynewicz
Jordan Lyles
Wes Benjamin
Matt Bush
DeMarcus Evans
Spencer Howard
Brett Martin
Joe Palumbo
Dennis Santana
Josh Sborz
Taylor Hearn
Jonah Heim
Jose Trevino
Ronald Guzman
Nate Lowe
Domingo Leyba
Nick Solak
Eli White
Isiah Kiner-Falefa
Willie Calhoun
Adolis Garcia
Charlie Culberson
Brock Holt
"Thursday, April 7th , 2022 - OOTP Baseball 22.10 Build 79"
