Player List
Name
Jaime Barria
Dylan Bundy
Alex Cobb
Shohei Ohtani
Chris Rodriguez
Steve Cishek
Junior Guerra
James Hoyt
Brian Johnson
Mike Mayers
Felix Pena
Ben Rowen
Patrick Sandoval
Raisel Iglesias
Max Stassi
Kurt Suzuki
Jared Walsh
Franklin Barreto
Jose Rojas
Anthony Rendon
David Fletcher
Jack Mayfield
Juan Lagares
Justin Upton
Mike Trout
Dexter Fowler
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
