Player List
Name
Chris Bassitt
Mike Fiers
Daulton Jefferies
Sean Manaea
Frankie Montas
Andrew Chafin
Jake Diekman
Reymin Guduan
Cole Irvin
Adam Kolarek
Yusmeiro Petit
Sergio Romo
Lou Trivino
Trevor Rosenthal
Yan Gomes
Sean Murphy
Matt Olson
Josh Harrison
Tony Kemp
Jed Lowrie
Matt Chapman
Elvis Andrus
Mark Canha
Khris Davis
Starling Marte
Stephen Piscotty
"Thursday, April 7th , 2022 - OOTP Baseball 22.10 Build 79"
