Player List
Name
Sandy Alcantara
Pablo Lopez
Jesus Luzardo
Sixto Sanchez
Zach Thompson
Anthony Bass
Anthony Bender
Richard Bleier
Paul Campbell
Dylan Floro
Nick Neidert
Zach Pop
Austin Pruitt
Trevor Rogers
Jorge Alfaro
Alex Jackson
Jesus Aguilar
Jazz Chisholm Jr.
Joe Panik
Brian Anderson
Miguel Rojas
Lewis Brinson
Jon Berti
Magneuris Sierra
Garrett Cooper
Dustin Fowler
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
