Player List
Name
Johnny Cueto
Kevin Gausman
Jose Quintana
Logan Webb
Alex Wood
Jose Alvarez
Tyler Chatwood
Jarlin Garcia
Jay Jackson
Zack Littell
Tyler Rogers
Tony Watson
Jake McGee
Joey Bart
Curt Casali
Buster Posey
Brandon Belt
Wilmer Flores
Darin Ruf
Tommy La Stella
Kris Bryant
Brandon Crawford
Alex Dickerson
LaMonte Wade Jr
Austin Slater
Mike Yastrzemski
"Thursday, April 7th , 2022 - OOTP Baseball 22.10 Build 79"
