Player List
Name
Zach Davies
Kyle Hendricks
Brendon Little
Alec Mills
Kohl Stewart
Jason Adam
Scott Effross
Dillon Maples
Adam Morgan
Manuel Rodriguez
Rowan Wick
Brad Wieck
Rex Brothers
Robinson Chirinos
Willson Contreras
Austin Romine
Frank Schwindel
Nick Madrigal
Matt Duffy
Patrick Wisdom
Abiatal Avelino
Nico Hoerner
Ian Happ
Ian Miller
Rafael Ortega
Jason Heyward
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
