Player List
Name
Casey Mize
Tarik Skubal
Julio Teheran
Spencer Turnbull
Jose Urena
Nolan Blackwood
Jose Cisnero
Ethan DeCaster
Jason Foley
Bryan Garcia
Derek Holland
Wily Peralta
Gregory Soto
Michael Fulmer
Eric Haase
Jake Rogers
Miguel Cabrera
Jonathan Schoop
Harold Castro
Niko Goodrum
Jeimer Candelario
Willi Castro
Robbie Grossman
JaCoby Jones
Akil Baddoo
Victor Reyes
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
