Player List
Name
Kris Bubic
Carlos Hernandez
Jakob Junis
Brad Keller
Brady Singer
Wade Davis
Jesse Hahn
Greg Holland
Joel Payamps
Gabe Speier
Josh Staumont
Kyle Zimmer
Scott Barlow
Cam Gallagher
Salvador Perez
Ryan McBroom
Carlos Santana
Hanser Alberto
Nicky Lopez
Whit Merrifield
Hunter Dozier
Adalberto Mondesi
Andrew Benintendi
Michael A. Taylor
Kyle Isbel
Edward Olivares
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
