Player List
Name
Walker Buehler
Clayton Kershaw
David Price
Max Scherzer
Julio Urias
Danny Duffy
Tony Gonsolin
Kenley Jansen
Joe Kelly
Corey Knebel
Jimmy Nelson
Blake Treinen
Brusdar Graterol
Austin Barnes
Will Smith
Max Muncy
Albert Pujols
Edwin Rios
Chris Taylor
Justin Turner
Corey Seager
Billy McKinney
AJ Pollock
Trea Turner
Cody Bellinger
Mookie Betts
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
