Player List
Name
Jose Berrios
Nate Pearson
Robbie Ray
Hyun-jin Ryu
Ross Stripling
Jacob Barnes
Ryan Borucki
Tim Mayza
David Phelps
Trevor Richards
Jordan Romano
Joakim Soria
Steven Matz
Danny Jansen
Reese McGuire
Vladimir Guerrero Jr.
Marcus Semien
Cavan Biggio
Christian Colon
Jake Lamb
Bo Bichette
Corey Dickerson
Lourdes Gurriel Jr.
Randal Grichuk
George Springer
Teoscar Hernandez
"Thursday, April 7th , 2022 - OOTP Baseball 22.10 Build 79"
