Player List
Name
Sonny Gray
Vladimir Gutierrez
Jeff Hoffman
Michael Lorenzen
Tyler Mahle
Luis Cessa
Carson Fulmer
Mychal Givens
Joel Kuhnel
Tommy Milone
Art Warren
Justin Wilson
Amir Garrett
Tucker Barnhart
Tyler Stephenson
Logan Morrison
Joey Votto
Asdrubal Cabrera
Jonathan India
Kyle Farmer
Mike Moustakas
Eugenio Suarez
Jesse Winker
Shogo Akiyama
Aristides Aquino
Nick Castellanos
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
