Player List
Name
Nathan Eovaldi
Tanner Houck
Martin Perez
Garrett Richards
Eduardo Rodriguez
Matt Barnes
Alex Claudio
Nick Pivetta
Hansel Robles
John Schreiber
Phillips Valdez
Garrett Whitlock
Adam Ottavino
Kevin Plawecki
Christian Vazquez
J.D. Martinez
Travis Shaw
Christian Arroyo
Enrique Hernandez
Rafael Devers
Xander Bogaerts
Jose Iglesias
Franchy Cordero
Kyle Schwarber
Alex Verdugo
Hunter Renfroe
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
