Player List
Name
Mike Clevinger
Yu Darvish
Dinelson Lamet
Joe Musgrove
Blake Snell
Tim Hill
Daniel Hudson
Pierce Johnson
Keone Kela
Chris Paddack
Emilio Pagan
Drew Pomeranz
Craig Stammen
Mark Melancon
Victor Caratini
Austin Nola
Eric Hosmer
Jake Cronenworth
Adam Frazier
Manny Machado
Ha-seong Kim
Tommy Pham
Jurickson Profar
Trent Grisham
Jake Marisnick
Wil Myers
"Thursday, April 7th , 2022 - OOTP Baseball 22.10 Build 79"
