Player List
Name
Randy Dobnak
John Gant
Griffin Jax
Bailey Ober
Michael Pineda
Jorge Alcala
Alex Colome
Tyler Duffey
Devin Smeltzer
Cody Stashak
Caleb Thielbar
Lewis Thorpe
Taylor Rogers
Mitch Garver
Ryan Jeffers
Brent Rooker
Miguel Sano
Tomas Telis
Jorge Polanco
Josh Donaldson
Nick Gordon
Andrelton Simmons
Luis Arraez
Byron Buxton
Jake Cave
Max Kepler
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
