Player List
Name
Brett Anderson
Corbin Burnes
Adrian Houser
Freddy Peralta
Brandon Woodruff
Brad Boxberger
Eric Lauer
Daniel Norris
Hunter Strickland
Brent Suter
Devin Williams
Eric Yardley
Josh Hader
Omar Narvaez
Manny Pina
Keston Hiura
Daniel Vogelbach
Jace Peterson
Luis Urias
Kolten Wong
Eduardo Escobar
Willy Adames
Christian Yelich
Lorenzo Cain
Jackie Bradley Jr.
Avisail Garcia
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
