Player List
Name
Patrick Corbin
Paolo Espino
Erick Fedde
Steven Fuentes
Sterling Sharp
Luis Avilan
Sam Clay
Andres Machado
Patrick Murphy
Tanner Rainey
Wander Suero
Austin Voth
Kyle Finnegan
Alex Avila
Jonathan Lucroy
Josh Bell
Mike Ford
Corban Joseph
Adrian Sanchez
Alcides Escobar
Carter Kieboom
Jordy Mercer
Andrew Stevenson
Victor Robles
Yadiel Hernandez
Juan Soto
"Thursday, April 7th , 2022 - OOTP Baseball 22.10 Build 79"
