Player List
Name
Carlos Carrasco
Rich Hill
Marcus Stroman
Noah Syndergaard
Taijuan Walker
Miguel Castro
Jeurys Familia
Brad Hand
Aaron Loup
Trevor May
Jake Reed
Robert Stock
Edwin Diaz
James McCann
Chance Sisco
Pete Alonso
Robinson Cano
Jeff McNeil
Jonathan Villar
J.D. Davis
Javier Baez
Francisco Lindor
Brandon Nimmo
Dominic Smith
Albert Almora Jr.
Michael Conforto
"Thursday, April 7th , 2022 - OOTP Baseball 22.10 Build 79"
