Player List
Name
Shane Bieber
Aaron Civale
Triston McKenzie
Zach Plesac
Cal Quantrill
Logan Allen
James Karinchak
Blake Parker
Oliver Perez
Bryan Shaw
Trevor Stephan
Nick Wittgren
Alex Young
Emmanuel Clase
Roberto Perez
Wilson Ramos
Yu Chang
Amed Rosario
Jose Ramirez
Gabriel Arias
Andres Gimenez
Harold Ramirez
Myles Straw
Josh Naylor
Franmil Reyes
Bradley Zimmer
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
