Player List
Name
Dylan Cease
Lucas Giolito
Dallas Keuchel
Michael Kopech
Carlos Rodon
Aaron Bummer
Matt Foster
Jace Fry
Craig Kimbrel
Evan Marshall
Jose Ruiz
Ryan Tepera
Liam Hendriks
Zack Collins
Yasmani Grandal
Jose Abreu
Leury Garcia
Cesar Hernandez
Yoan Moncada
Tim Anderson
Eloy Jimenez
Andrew Vaughn
Adam Engel
Billy Hamilton
Luis Robert
Brian Goodwin
"Tuesday, April 5th , 2022 - OOTP Baseball 22.10 Build 79"
